MaxSizeTL,sstmean,Diet,Position,Kmax,Kmax_lowqt,Kmax_upqt
2,20,HerDet,PelgAs,2.937,1.746,4.859
2,20,HerDet,PelgDw,2.916,1.711,4.944
2,20,HerDet,BtPlAs,2.797,1.615,4.72
2,20,HerDet,BtPlDw,3.179,1.781,5.43
2,20,HerDet,BnthAs,2.248,1.321,3.703
2,20,HerDet,BnthDw,2.813,1.704,4.712
2,20,Omnivr,PelgAs,2.938,1.679,4.835
2,20,Omnivr,PelgDw,2.893,1.635,4.783
2,20,Omnivr,BtPlAs,2.794,1.559,4.695
2,20,Omnivr,BtPlDw,3.105,1.744,5.341
2,20,Omnivr,BnthAs,2.217,1.348,3.633
2,20,Omnivr,BnthDw,2.817,1.646,4.559
2,20,Plktiv,PelgAs,3.444,2.099,5.625
2,20,Plktiv,PelgDw,3.445,2.098,5.789
2,20,Plktiv,BtPlAs,3.241,1.929,5.265
2,20,Plktiv,BtPlDw,3.664,2.15,6.089
2,20,Plktiv,BnthAs,2.606,1.573,4.308
2,20,Plktiv,BnthDw,3.309,1.948,5.49
2,20,InvSes,PelgAs,3.254,1.923,5.385
2,20,InvSes,PelgDw,3.247,1.893,5.372
2,20,InvSes,BtPlAs,3.123,1.865,5.171
2,20,InvSes,BtPlDw,3.519,2.053,6.015
2,20,InvSes,BnthAs,2.42,1.462,4.092
2,20,InvSes,BnthDw,3.108,1.848,5.132
2,20,InvMob,PelgAs,3.504,2.156,5.796
2,20,InvMob,PelgDw,3.468,2.111,5.879
2,20,InvMob,BtPlAs,3.259,1.96,5.374
2,20,InvMob,BtPlDw,3.756,2.225,6.198
2,20,InvMob,BnthAs,2.574,1.582,4.139
2,20,InvMob,BnthDw,3.417,2.048,5.467
2,20,FisCep,PelgAs,2.802,1.648,4.421
2,20,FisCep,PelgDw,2.8,1.603,4.599
2,20,FisCep,BtPlAs,2.547,1.436,4.257
2,20,FisCep,BtPlDw,2.984,1.659,5.004
2,20,FisCep,BnthAs,2.057,1.228,3.343
2,20,FisCep,BnthDw,2.611,1.492,4.235
2,22,HerMac,PelgAs,3.64,2.292,5.949
2,22,HerMac,PelgDw,3.607,2.242,5.889
2,22,HerMac,BtPlAs,3.209,1.936,5.233
2,22,HerMac,BtPlDw,4.038,2.544,6.79
2,22,HerMac,BnthAs,2.971,1.839,4.858
2,22,HerMac,BnthDw,3.516,2.162,5.589
2,22,HerDet,PelgAs,3.474,2.047,6.043
2,22,HerDet,PelgDw,3.467,2.009,5.95
2,22,HerDet,BtPlAs,3.089,1.813,5.158
2,22,HerDet,BtPlDw,3.932,2.249,6.763
2,22,HerDet,BnthAs,2.919,1.705,4.775
2,22,HerDet,BnthDw,3.323,1.947,5.626
2,22,Omnivr,PelgAs,3.139,1.86,5.319
2,22,Omnivr,PelgDw,3.107,1.857,5.385
2,22,Omnivr,BtPlAs,2.864,1.608,4.815
2,22,Omnivr,BtPlDw,3.516,2.045,5.954
2,22,Omnivr,BnthAs,2.601,1.528,4.287
2,22,Omnivr,BnthDw,3.048,1.781,4.888
2,22,Plktiv,PelgAs,3.611,2.273,6.089
2,22,Plktiv,PelgDw,3.693,2.264,6.201
2,22,Plktiv,BtPlAs,3.232,1.975,5.419
2,22,Plktiv,BtPlDw,4.04,2.526,6.758
2,22,Plktiv,BnthAs,2.986,1.844,4.91
2,22,Plktiv,BnthDw,3.49,2.112,5.735
2,22,InvSes,PelgAs,3.56,2.207,5.981
2,22,InvSes,PelgDw,3.534,2.149,6.01
2,22,InvSes,BtPlAs,3.229,1.931,5.297
2,22,InvSes,BtPlDw,4,2.399,6.683
2,22,InvSes,BnthAs,2.916,1.762,4.875
2,22,InvSes,BnthDw,3.374,1.993,5.548
2,22,InvMob,PelgAs,3.776,2.367,5.989
2,22,InvMob,PelgDw,3.763,2.327,5.977
2,22,InvMob,BtPlAs,3.286,2.011,5.359
2,22,InvMob,BtPlDw,4.181,2.644,6.807
2,22,InvMob,BnthAs,3.054,1.899,4.85
2,22,InvMob,BnthDw,3.72,2.292,5.866
2,22,FisCep,PelgAs,3.159,1.864,5.397
2,22,FisCep,PelgDw,3.164,1.847,5.365
2,22,FisCep,BtPlAs,2.738,1.581,4.615
2,22,FisCep,BtPlDw,3.506,2.052,5.919
2,22,FisCep,BnthAs,2.555,1.483,4.22
2,22,FisCep,BnthDw,2.912,1.718,4.928
2,24,HerMac,PelgAs,5.667,3.663,8.87
2,24,HerMac,PelgDw,5.679,3.664,9.104
2,24,HerMac,BtPlAs,4.908,3.07,7.827
2,24,HerMac,BtPlDw,6.543,4.344,9.998
2,24,HerMac,BnthAs,4.581,2.848,7.438
2,24,HerMac,BnthDw,5.29,3.375,7.915
2,24,HerDet,PelgAs,4.819,2.963,8.09
2,24,HerDet,PelgDw,4.813,2.93,8.001
2,24,HerDet,BtPlAs,4.195,2.535,7.021
2,24,HerDet,BtPlDw,5.64,3.513,9.054
2,24,HerDet,BnthAs,4.022,2.47,6.895
2,24,HerDet,BnthDw,4.434,2.766,7.262
2,24,Omnivr,PelgAs,4.688,2.9,7.67
2,24,Omnivr,PelgDw,4.678,2.82,7.817
2,24,Omnivr,BtPlAs,4.168,2.427,6.97
2,24,Omnivr,BtPlDw,5.369,3.319,8.574
2,24,Omnivr,BnthAs,3.791,2.258,6.591
2,24,Omnivr,BnthDw,4.352,2.597,6.846
2,24,Plktiv,PelgAs,5.732,3.714,8.586
2,24,Plktiv,PelgDw,5.87,3.775,9.053
2,24,Plktiv,BtPlAs,4.951,3.026,7.844
2,24,Plktiv,BtPlDw,6.555,4.365,9.982
2,24,Plktiv,BnthAs,4.602,2.809,7.301
2,24,Plktiv,BnthDw,5.275,3.239,8.046
2,24,InvSes,PelgAs,5.568,3.44,8.997
2,24,InvSes,PelgDw,5.566,3.42,9.022
2,24,InvSes,BtPlAs,4.922,2.973,8.055
2,24,InvSes,BtPlDw,6.389,4.016,10.136
2,24,InvSes,BnthAs,4.443,2.716,7.372
2,24,InvSes,BnthDw,5.062,3.147,8.024
2,24,InvMob,PelgAs,6.005,3.931,9.341
2,24,InvMob,PelgDw,5.984,3.861,9.522
2,24,InvMob,BtPlAs,5.071,3.101,8.156
2,24,InvMob,BtPlDw,6.932,4.696,10.616
2,24,InvMob,BnthAs,4.709,3.02,7.547
2,24,InvMob,BnthDw,5.735,3.654,8.623
2,24,FisCep,PelgAs,4.805,3.029,7.753
2,24,FisCep,PelgDw,4.873,3.031,7.78
2,24,FisCep,BtPlAs,4.097,2.489,6.73
2,24,FisCep,BtPlDw,5.607,3.456,8.762
2,24,FisCep,BnthAs,3.866,2.357,6.384
2,24,FisCep,BnthDw,4.171,2.565,6.547
2,26,HerMac,PelgAs,9.555,6.511,13.517
2,26,HerMac,PelgDw,8.618,5.763,12.441
